geography,bounds,xlat,xlon,day_count,source_rows,activity_sum,activity_mean_per_day,activity_min,activity_max
021230030220001130,"-122.32452392578125, 47.63300737749619, -122.32315063476562, 47.63393279834071",47.63347,-122.32384,31,31,30.361742,0.979411,0.552371,1.469052
021230030220020130,"-122.33551025390625, 47.61819841513311, -122.33413696289062, 47.619124098197325",47.61866,-122.33482,31,31,30.336172,0.978586,0.535863,1.413315
021230030220022323,"-122.33688354492188, 47.60616304386873, -122.33551025390625, 47.60708893999558",47.60663,-122.33620,31,31,30.064385,0.969819,0.040923,1.558351
021230030220021233,"-122.32864379882812, 47.61356975397396, -122.3272705078125, 47.61449551898437",47.61403,-122.32796,31,31,30.063221,0.969781,0.416412,1.412834
021230030220201021,"-122.33139038085938, 47.603385257149334, -122.33001708984375, 47.60431120244565",47.60385,-122.33070,31,32,29.901046,0.964550,0.114976,1.622188
021230030220201000,"-122.332763671875, 47.6052371313521, -122.33139038085938, 47.60616304386873",47.60570,-122.33208,31,31,29.834968,0.962418,0.210729,1.460751
021230030220022313,"-122.33413696289062, 47.6080148197327, -122.332763671875, 47.608940683080164",47.60848,-122.33345,31,31,29.794150,0.961102,0.567403,1.429203
021230030202221333,"-122.32315063476562, 47.64318610543656, -122.32177734375, 47.644111346012295",47.64365,-122.32246,31,31,29.766937,0.960224,0.462464,1.561855
021230030220201011,"-122.32864379882812, 47.6052371313521, -122.3272705078125, 47.60616304386873",47.60570,-122.32796,31,31,29.704196,0.958200,0.516084,1.328627
021230030220201001,"-122.33139038085938, 47.6052371313521, -122.33001708984375, 47.60616304386873",47.60570,-122.33070,31,31,29.602649,0.954924,0.196027,1.540455
021230030220021032,"-122.33001708984375, 47.61727271567976, -122.32864379882812, 47.61819841513311",47.61774,-122.32933,31,31,29.564056,0.953679,0.537832,1.375381
021230030202201331,"-122.32315063476562, 47.658912966519445, -122.32177734375, 47.659837928509596",47.65938,-122.32246,31,31,29.425099,0.949197,0.433545,1.390298
021230030220002200,"-122.34375, 47.623752267682875, -122.34237670898438, 47.62467785241324",47.62422,-122.34306,31,31,29.401627,0.948440,0.544231,1.472823
021230030220020031,"-122.33963012695312, 47.61819841513311, -122.3382568359375, 47.619124098197325",47.61866,-122.33894,31,31,29.351762,0.946831,0.417268,1.405660
021230030220023200,"-122.332763671875, 47.608940683080164, -122.33139038085938, 47.60986653003798",47.60940,-122.33208,31,31,29.275697,0.944377,0.351428,1.334205
021230030220022331,"-122.33413696289062, 47.60708893999558, -122.332763671875, 47.6080148197327",47.60755,-122.33345,31,31,29.235647,0.943085,0.281439,1.321182
021230030202201133,"-122.32315063476562, 47.661687803329166, -122.32177734375, 47.662612716158655",47.66215,-122.32246,31,31,29.116504,0.939242,0.427672,1.381506
021230030220201012,"-122.33001708984375, 47.60431120244565, -122.32864379882812, 47.6052371313521",47.60477,-122.32933,31,31,29.044999,0.936935,0.287508,1.501844
